date,campaign_name,channel,region,impressions,clicks,signups,transactions,transaction_amount,campaign_cost,active_users,payment_type,customer_segment
2025-01-07,Student Recharge Promo,SMS,Sylhet,99288,6425,1984,1868,2349443.83,12075.46,14006,Bill Pay,Existing User
2025-01-08,Eid Offer,YouTube,Chattogram,74693,3600,799,450,988521.6,14817.25,15171,Mobile Recharge,Merchant
2025-01-08,Bill Pay Campaign,YouTube,Dhaka,128138,5536,726,625,1614948.53,29548.33,10136,Send Money,Merchant
2025-01-08,Bill Pay Campaign,Push Notification,Sylhet,23112,1858,480,358,327752.49,1394.16,9439,Bill Pay,Student
2025-01-08,App Signup Bonus,Facebook,Chattogram,76517,5065,1252,889,371386.16,7756.59,39542,Merchant Payment,New User
2025-01-08,Merchant Payment Promo,SMS,Rajshahi,26046,1416,267,129,381449.03,2221.96,1799,Merchant Payment,Merchant
2025-01-09,Cashback Offer,Email,Rangpur,60783,1453,249,155,173356.08,1880.52,9711,Send Money,New User
2025-01-09,App Signup Bonus,Email,Sylhet,37225,1322,361,203,139569.05,1002.66,10371,Send Money,Student
2025-01-09,Merchant Payment Promo,Google Ads,Khulna,43994,1416,234,187,216319.07,8296.78,24946,QR Payment,Premium User
2025-01-09,Ramadan Campaign,Email,Dhaka,63923,694,87,71,76504.7,1870.1,43194,QR Payment,Student
2025-01-09,App Signup Bonus,YouTube,Mymensingh,61361,2769,383,285,133575.3,15257.27,15210,Merchant Payment,Student
2025-01-09,QR Payment Campaign,Facebook,Rangpur,10358,558,106,71,103128.24,1553.59,6651,QR Payment,Merchant
2025-01-09,QR Payment Campaign,YouTube,Khulna,15905,586,48,27,72688.27,3080.08,1228,Send Money,Merchant
2025-01-10,Eid Offer,Email,Rajshahi,77156,3606,881,737,1692528.46,2322.17,20073,Send Money,Merchant
2025-01-11,Cashback Offer,Facebook,Barishal,11590,519,120,92,317477.85,1985.67,7287,Bill Pay,Premium User
2025-01-11,Ramadan Campaign,Google Ads,Sylhet,23922,1389,277,235,262620.02,2100.29,10197,QR Payment,Student
2025-01-11,Cashback Offer,YouTube,Sylhet,47955,1486,201,106,96063.22,4157.41,19160,QR Payment,New User
2025-01-11,Student Recharge Promo,Email,Rangpur,40494,1327,91,70,187224.8,1292.85,8427,QR Payment,Merchant
2025-01-11,Eid Offer,Push Notification,Sylhet,82854,5040,1255,1121,1303549.72,1574.64,10043,Send Money,Student
2025-01-12,QR Payment Campaign,SMS,Dhaka,176274,15690,2158,1833,5411605.91,9200.79,25954,Send Money,Premium User
2025-01-12,Bill Pay Campaign,Facebook,Barishal,54458,2770,624,559,518333.66,8706.63,1745,Mobile Recharge,New User
2025-01-12,Ramadan Campaign,YouTube,Rajshahi,24710,382,49,39,62384.2,2688.79,31400,Merchant Payment,Merchant
2025-01-12,Merchant Payment Promo,Email,Mymensingh,38657,1090,293,254,382048.56,1087.16,8716,QR Payment,New User
2025-01-12,QR Payment Campaign,Email,Dhaka,96716,3628,108,88,64729.04,4016.45,2726,Mobile Recharge,Student
2025-01-13,Merchant Payment Promo,Facebook,Rajshahi,15424,711,116,102,344924.75,1294.58,7617,Send Money,Premium User
2025-01-13,Bill Pay Campaign,Facebook,Sylhet,65793,3037,753,585,566802.9,13118.01,23262,QR Payment,Premium User
2025-01-13,Bill Pay Campaign,Facebook,Mymensingh,46165,2741,942,332,153289.81,7731.19,9780,Send Money,New User
2025-01-14,Cashback Offer,Email,Dhaka,66763,2138,345,258,163796.97,1306.77,49312,Bill Pay,New User
2025-01-14,Cashback Offer,Email,Chattogram,29908,1386,135,64,134801.89,1175.14,49001,Mobile Recharge,Merchant
2025-01-14,Bill Pay Campaign,Facebook,Dhaka,80580,4700,1545,737,898484.34,6063.06,16689,Merchant Payment,New User
2025-01-14,Bill Pay Campaign,Email,Mymensingh,19542,960,142,135,91759.93,449.52,9819,Bill Pay,Existing User
2025-01-15,Merchant Payment Promo,SMS,Sylhet,8797,446,128,81,200128.63,597.32,13657,Bill Pay,Premium User
2025-01-15,Student Recharge Promo,Email,Chattogram,94798,2721,611,441,187809.66,4270.51,32730,Merchant Payment,New User
2025-01-15,App Signup Bonus,SMS,Sylhet,12309,1225,317,165,392178.19,667.29,6773,Send Money,Premium User
2025-01-15,Ramadan Campaign,Push Notification,Chattogram,10915,1222,389,313,1117957.97,354.86,14977,Mobile Recharge,Premium User
2025-01-15,Eid Offer,YouTube,Rangpur,15219,1201,130,66,83616.7,3210.4,21732,Send Money,Student
2025-01-16,Ramadan Campaign,Push Notification,Mymensingh,73684,5001,1688,1303,1997842.16,3939.01,4813,Bill Pay,Existing User
2025-01-16,Merchant Payment Promo,Push Notification,Chattogram,108943,9509,3370,2584,6727350.88,5392.61,11905,Mobile Recharge,Merchant
2025-01-16,Merchant Payment Promo,Push Notification,Barishal,11968,1054,247,237,251261.71,306.75,13655,Merchant Payment,Existing User
2025-01-16,Student Recharge Promo,SMS,Rangpur,54529,2555,520,477,354306.3,1994.22,3777,QR Payment,Premium User
2025-01-17,Bill Pay Campaign,Push Notification,Chattogram,80429,6333,1962,1547,2246053.41,4129.32,10238,QR Payment,Merchant
2025-01-17,Cashback Offer,Facebook,Dhaka,75591,4243,559,220,243562.03,9969.42,14514,Send Money,New User
2025-01-17,App Signup Bonus,Facebook,Chattogram,90050,3524,969,826,605455.07,10239.38,31032,QR Payment,New User
2025-01-17,Bill Pay Campaign,Push Notification,Sylhet,53942,2966,764,274,163054.09,1539.18,17758,Send Money,Student
2025-01-17,Cashback Offer,Google Ads,Khulna,18035,701,142,134,397753.06,4100.11,23755,Merchant Payment,Merchant
2025-01-18,Bill Pay Campaign,Facebook,Rajshahi,59525,3815,789,540,1154456.94,3955.76,9200,Bill Pay,Merchant
2025-01-18,Ramadan Campaign,Email,Dhaka,65181,3117,485,315,1158472.24,3050.78,65941,Merchant Payment,Premium User
2025-01-18,App Signup Bonus,Push Notification,Dhaka,115270,7362,2414,1121,1061493.24,3175.49,31980,Send Money,Premium User
2025-01-19,Student Recharge Promo,Email,Mymensingh,5563,148,35,12,9873.53,117.04,19547,Bill Pay,New User
2025-01-19,Cashback Offer,SMS,Dhaka,39418,2422,768,402,287746.27,1538.8,41275,Mobile Recharge,New User
2025-01-19,Eid Offer,Google Ads,Mymensingh,70937,4543,1070,652,221079.76,15310.45,7860,QR Payment,Student
2025-01-20,Cashback Offer,SMS,Khulna,79300,4556,1584,1385,1614066.46,2805.37,12182,Send Money,New User
2025-01-20,QR Payment Campaign,SMS,Rajshahi,42780,4308,1308,675,418421.35,3335.04,6872,Mobile Recharge,New User
2025-01-20,Merchant Payment Promo,Push Notification,Sylhet,43287,3913,956,815,936023.34,799.79,26453,Mobile Recharge,Existing User
2025-01-21,Eid Offer,Push Notification,Chattogram,119813,13276,4131,3196,2530678.6,4767.09,47999,Bill Pay,Student
2025-01-21,Student Recharge Promo,YouTube,Dhaka,105837,4823,210,125,33548.59,22936.18,3826,QR Payment,Student
2025-01-21,App Signup Bonus,SMS,Chattogram,50269,2577,1010,381,126823.34,5757.77,49442,Mobile Recharge,New User
2025-01-21,Merchant Payment Promo,SMS,Barishal,71503,3789,677,379,604514.39,2784.56,14692,Merchant Payment,New User
2025-01-21,Ramadan Campaign,Email,Barishal,21822,1155,221,107,63815.08,952.61,8942,Send Money,Student
2025-01-21,Student Recharge Promo,Facebook,Barishal,38061,2821,1019,561,650384.5,2207.49,10872,Merchant Payment,Merchant
2025-01-21,Bill Pay Campaign,SMS,Barishal,45395,3222,927,794,835947.88,5278.16,23335,Send Money,New User
2025-01-22,Eid Offer,SMS,Rangpur,22535,1518,319,280,878534.79,1291.68,18988,Mobile Recharge,Premium User
2025-01-22,Ramadan Campaign,Email,Khulna,51122,2005,253,130,106957.01,2008.11,8404,QR Payment,Student
2025-01-22,App Signup Bonus,Facebook,Dhaka,25141,1429,271,153,113229.93,1861.81,27855,QR Payment,Premium User
2025-01-22,Student Recharge Promo,Google Ads,Rajshahi,15607,684,124,80,25164.38,3392.48,24566,Send Money,New User
2025-01-23,Ramadan Campaign,YouTube,Rajshahi,17784,1098,307,213,269046.98,4337.37,13653,QR Payment,Merchant
2025-01-23,App Signup Bonus,SMS,Rangpur,44127,2521,788,443,388767.29,1535.23,21628,Bill Pay,New User
2025-01-23,Student Recharge Promo,YouTube,Khulna,7175,35,5,4,2636.9,1459.39,14606,Merchant Payment,Premium User
2025-01-24,Merchant Payment Promo,YouTube,Mymensingh,20266,1673,289,133,163041.26,2291.17,16786,Send Money,New User
2025-01-24,Cashback Offer,Email,Mymensingh,5953,241,30,16,5004.86,95.24,13292,Send Money,Student
2025-01-24,Ramadan Campaign,Google Ads,Khulna,16394,468,87,83,244532.82,1478.13,28863,Merchant Payment,Premium User
2025-01-24,Merchant Payment Promo,YouTube,Rangpur,77513,5263,759,455,455420.39,24703.27,23836,Bill Pay,Existing User
2025-01-25,Merchant Payment Promo,Push Notification,Mymensingh,53712,4675,1220,887,238169.07,1914.09,6253,Send Money,Student
2025-01-25,Cashback Offer,YouTube,Rangpur,35677,590,100,96,117498.23,4103.08,10413,Bill Pay,Merchant
2025-01-25,Merchant Payment Promo,Email,Mymensingh,31392,1797,272,249,256521.84,1588.79,4836,Send Money,Premium User
2025-01-26,Cashback Offer,Facebook,Rajshahi,60594,4813,494,242,259790.11,12366.99,27917,Mobile Recharge,Existing User
2025-01-26,Eid Offer,Google Ads,Sylhet,16842,475,72,62,219196.64,3826.51,1385,Merchant Payment,Premium User
2025-01-26,Bill Pay Campaign,Facebook,Mymensingh,34857,1639,408,276,237116.96,6604.02,24334,Send Money,New User
2025-01-26,Eid Offer,Google Ads,Khulna,60523,2141,310,163,774705.05,12983.35,25359,Send Money,Merchant
2025-01-27,Ramadan Campaign,Email,Khulna,71979,3390,735,662,2024128.32,1306.62,17510,Send Money,Merchant
2025-01-27,Bill Pay Campaign,Google Ads,Dhaka,127578,3718,794,397,404452.55,11551.94,55810,Bill Pay,New User
2025-01-27,Student Recharge Promo,Google Ads,Rangpur,7661,303,43,29,19781.85,833.43,25565,Merchant Payment,Existing User
2025-01-27,Bill Pay Campaign,YouTube,Mymensingh,39323,1321,295,143,195803.51,10520.03,7780,Send Money,Existing User
2025-01-28,Ramadan Campaign,Email,Dhaka,124299,3197,509,254,624897.76,3921.32,65126,QR Payment,Merchant
2025-01-28,App Signup Bonus,Google Ads,Dhaka,19549,1016,241,133,114979.81,3067.39,62696,Merchant Payment,Existing User
2025-01-28,Merchant Payment Promo,YouTube,Chattogram,29597,1130,190,74,58322.96,8249.63,15965,QR Payment,Student
2025-01-28,App Signup Bonus,Email,Khulna,39015,894,201,138,50512.07,1402.25,11035,Mobile Recharge,Existing User
2025-01-29,Bill Pay Campaign,Facebook,Khulna,23567,851,160,93,108555.62,1492.63,3030,Mobile Recharge,Premium User
2025-01-29,Ramadan Campaign,Email,Barishal,4992,128,7,6,22539.9,124.09,2269,QR Payment,Premium User
2025-01-29,Student Recharge Promo,Email,Rajshahi,28576,767,94,77,24272.64,1090.75,17445,Bill Pay,Existing User
2025-01-30,Merchant Payment Promo,Google Ads,Chattogram,49753,3337,507,366,413604.5,9981.35,31802,Send Money,Premium User
2025-01-30,App Signup Bonus,Facebook,Rangpur,66241,2950,990,749,238411.3,11173.53,1457,Mobile Recharge,New User
2025-01-30,Ramadan Campaign,Push Notification,Rangpur,41489,3613,1049,406,143867.55,1529.6,24770,Send Money,Student
2025-01-30,App Signup Bonus,Push Notification,Rangpur,22449,2125,682,312,80458.87,710.67,20365,Send Money,Student
2025-01-31,Student Recharge Promo,SMS,Rangpur,14796,871,152,137,141378.14,1252.45,24921,Bill Pay,Merchant
2025-01-31,Merchant Payment Promo,Push Notification,Rajshahi,85079,9166,2849,2129,3895432.5,1479.11,27708,Bill Pay,Existing User
2025-02-01,App Signup Bonus,Push Notification,Rangpur,56276,5390,1628,1464,3549411.65,2000.54,11739,Send Money,Premium User
2025-02-01,Ramadan Campaign,Google Ads,Dhaka,37926,1451,161,94,229887.98,6483.9,38095,Mobile Recharge,Merchant
2025-02-01,Ramadan Campaign,Facebook,Dhaka,156519,6943,2005,1762,1172148.26,20773.21,44245,Merchant Payment,New User
2025-02-01,Student Recharge Promo,Email,Sylhet,38305,1492,244,185,134447.93,563.08,12719,Send Money,Existing User
2025-02-02,Bill Pay Campaign,Google Ads,Chattogram,11026,330,68,30,6351.11,2747.96,7727,Mobile Recharge,Student
2025-02-02,QR Payment Campaign,Google Ads,Khulna,23777,793,185,177,330405.47,6115.72,19148,Send Money,Existing User
2025-02-03,Bill Pay Campaign,YouTube,Chattogram,132804,7747,651,413,172524.06,42054.25,25773,Bill Pay,Existing User
2025-02-03,Eid Offer,Email,Barishal,43123,1893,388,332,1291980.39,867.29,6273,Mobile Recharge,Premium User
2025-02-03,QR Payment Campaign,SMS,Rajshahi,85802,7520,2690,2389,1472052.31,8495.28,9883,Merchant Payment,New User
2025-02-04,Student Recharge Promo,Push Notification,Rangpur,9833,725,247,154,35892.96,406.01,2007,QR Payment,New User
2025-02-04,Student Recharge Promo,Push Notification,Rajshahi,54665,4929,1559,1217,2836236.86,2107.37,9698,Merchant Payment,Merchant
2025-02-04,QR Payment Campaign,Google Ads,Dhaka,158781,6300,793,585,1562980.94,41652.42,46350,Mobile Recharge,Merchant
2025-02-05,Bill Pay Campaign,YouTube,Dhaka,59730,1905,350,182,108278.97,18502.08,12857,QR Payment,New User
2025-02-05,Student Recharge Promo,Facebook,Khulna,23397,1687,317,184,120762.27,2713.16,23345,Merchant Payment,Student
2025-02-05,Student Recharge Promo,SMS,Khulna,67503,3921,1123,1016,1119962.82,4475.57,30178,Send Money,Merchant
2025-02-05,Merchant Payment Promo,YouTube,Rangpur,8337,467,16,15,15957.37,972.55,8234,Mobile Recharge,Merchant
2025-02-05,Bill Pay Campaign,Push Notification,Khulna,71618,7520,2436,2029,5824608.3,2120.8,10678,Mobile Recharge,Premium User
2025-02-05,Ramadan Campaign,YouTube,Barishal,18681,650,131,61,150746.68,3197.25,10230,Bill Pay,Premium User
2025-02-06,Ramadan Campaign,Push Notification,Dhaka,128216,13445,4222,1829,996871.46,4390.16,2739,Merchant Payment,Student
2025-02-06,QR Payment Campaign,Email,Barishal,42053,929,27,10,8674.99,1905.04,15851,Send Money,New User
2025-02-06,Eid Offer,Push Notification,Rajshahi,67121,6224,1480,845,822324.6,2526.41,10172,Merchant Payment,New User
2025-02-07,App Signup Bonus,Email,Khulna,15483,434,80,74,73613.57,828.08,1540,Bill Pay,Existing User
2025-02-07,Cashback Offer,Google Ads,Sylhet,20549,1363,339,275,392334.2,3561.57,30724,Bill Pay,Premium User
2025-02-07,Ramadan Campaign,SMS,Barishal,45768,4122,1278,1244,3244893.56,5496.17,10462,Merchant Payment,Premium User
2025-02-07,Eid Offer,YouTube,Rajshahi,26955,1084,207,121,136569.96,5040.76,7495,Merchant Payment,New User
2025-02-07,Cashback Offer,YouTube,Rangpur,13905,448,13,12,11594.29,2636.75,16821,Bill Pay,Merchant
2025-02-08,App Signup Bonus,Google Ads,Sylhet,14688,840,184,166,359658.34,1985.76,17610,Bill Pay,Merchant
2025-02-09,Merchant Payment Promo,Email,Rajshahi,19543,851,163,131,465313.41,404.04,30223,Bill Pay,Merchant
2025-02-09,Student Recharge Promo,Push Notification,Rajshahi,61787,3421,927,648,1426969.53,3865.46,8106,Mobile Recharge,Merchant
2025-02-09,Merchant Payment Promo,Facebook,Dhaka,16689,1179,210,139,190711.35,1045.95,29089,Send Money,Premium User
2025-02-10,Eid Offer,Push Notification,Khulna,32820,2914,1096,547,212241.61,1665.85,15192,Merchant Payment,Student
2025-02-10,Cashback Offer,SMS,Barishal,17417,1326,445,303,74065.5,1828.19,18386,Mobile Recharge,Student
2025-02-10,Bill Pay Campaign,Facebook,Rangpur,39403,1303,288,121,92398.87,5788.17,17855,Merchant Payment,New User
2025-02-11,Cashback Offer,YouTube,Khulna,56077,4136,718,548,510778.85,7879.12,25031,QR Payment,Existing User
2025-02-11,Cashback Offer,Facebook,Sylhet,40481,2700,321,234,130114.71,6381.9,30718,QR Payment,New User
2025-02-11,Student Recharge Promo,YouTube,Chattogram,89726,2459,229,165,97749.24,15419.64,47665,QR Payment,Existing User
2025-02-11,Student Recharge Promo,Facebook,Barishal,36789,1873,474,227,474792.13,4522.23,8173,QR Payment,Premium User
2025-02-12,Ramadan Campaign,Google Ads,Rangpur,32506,2573,664,478,311743.16,2768.79,22083,Mobile Recharge,Existing User
2025-02-12,Ramadan Campaign,Email,Rangpur,5385,226,18,8,27335.47,222.69,16426,Merchant Payment,Merchant
2025-02-12,Bill Pay Campaign,SMS,Khulna,14735,864,202,153,85684.87,1178.0,24669,Merchant Payment,Student
2025-02-12,Bill Pay Campaign,Google Ads,Dhaka,21438,959,117,41,49479.31,3603.21,14791,Mobile Recharge,New User
2025-02-13,Eid Offer,Email,Rangpur,45807,1044,216,211,860587.12,1680.88,12482,Merchant Payment,Premium User
2025-02-13,App Signup Bonus,Push Notification,Mymensingh,31239,1919,454,363,97978.62,1465.68,14828,Merchant Payment,Student
2025-02-13,Eid Offer,Push Notification,Dhaka,90936,5820,2098,1100,589049.02,1924.84,14647,Send Money,Student
2025-02-13,Cashback Offer,Facebook,Rangpur,13253,780,141,109,142805.9,835.44,3465,Send Money,Merchant
2025-02-14,QR Payment Campaign,Email,Rangpur,31140,1192,185,156,451943.66,562.3,8254,Bill Pay,Premium User
2025-02-14,Merchant Payment Promo,Facebook,Dhaka,36226,2130,133,66,177451.8,2147.73,38378,Mobile Recharge,Premium User
2025-02-14,Ramadan Campaign,YouTube,Barishal,59030,4074,334,139,54909.63,12963.71,9854,Mobile Recharge,Student
2025-02-14,Bill Pay Campaign,Push Notification,Barishal,57258,5505,1419,732,189520.06,3214.37,17746,QR Payment,Student
2025-02-15,Eid Offer,SMS,Barishal,57646,6225,1795,1084,492470.61,4640.07,23708,Mobile Recharge,New User
2025-02-15,Cashback Offer,Push Notification,Khulna,67982,3868,947,435,405823.67,2000.52,30015,Merchant Payment,Student
2025-02-15,Cashback Offer,Google Ads,Sylhet,45134,2504,426,219,198583.28,9772.3,21522,Mobile Recharge,Student
2025-02-15,Eid Offer,YouTube,Rajshahi,39381,1455,341,257,206401.14,8836.49,12277,QR Payment,New User
2025-02-15,Ramadan Campaign,Google Ads,Barishal,73794,3511,820,376,882168.53,9607.44,9760,Mobile Recharge,Premium User
2025-02-15,QR Payment Campaign,YouTube,Khulna,24291,1271,94,69,55084.61,5320.39,7166,Bill Pay,Existing User
2025-02-15,Ramadan Campaign,Facebook,Dhaka,144689,8609,2580,1761,3313096.29,25672.5,53946,Bill Pay,Existing User
2025-02-16,Cashback Offer,Facebook,Sylhet,65535,1242,416,327,597322.23,3660.78,8707,Mobile Recharge,Existing User
2025-02-16,App Signup Bonus,YouTube,Dhaka,23419,1093,234,157,479273.55,4377.48,63507,QR Payment,Merchant
2025-02-16,Student Recharge Promo,SMS,Rangpur,16792,933,308,201,463654.91,1401.87,23255,Bill Pay,Merchant
2025-02-16,Merchant Payment Promo,Facebook,Rangpur,17296,707,130,69,35126.1,1924.75,21687,Bill Pay,New User
2025-02-16,App Signup Bonus,Push Notification,Barishal,8435,609,239,94,37793.11,259.86,5385,Mobile Recharge,New User
2025-02-16,App Signup Bonus,Push Notification,Khulna,18920,1107,348,226,71654.95,654.26,26706,Merchant Payment,Student
2025-02-16,App Signup Bonus,SMS,Rajshahi,71308,5399,919,791,317768.82,7498.65,30080,Mobile Recharge,Existing User
2025-02-16,Eid Offer,Google Ads,Chattogram,84829,4891,146,96,211055.28,10724.31,12323,Mobile Recharge,Merchant
2025-02-16,App Signup Bonus,YouTube,Chattogram,51494,2133,488,373,339949.07,13948.86,32039,QR Payment,Existing User
2025-02-16,App Signup Bonus,Push Notification,Khulna,31607,2501,757,333,146270.83,1272.42,6216,Merchant Payment,Student
2025-02-16,Student Recharge Promo,YouTube,Sylhet,34311,930,182,168,183785.45,8286.61,31514,Merchant Payment,Existing User
2025-02-16,Merchant Payment Promo,YouTube,Mymensingh,84483,2172,330,202,362037.11,19519.71,17788,Merchant Payment,Existing User
2025-02-17,QR Payment Campaign,YouTube,Barishal,19844,425,122,60,81449.96,4901.37,9563,QR Payment,New User
2025-02-17,Merchant Payment Promo,Push Notification,Barishal,13046,1257,381,356,610183.72,436.79,15225,Mobile Recharge,Existing User
2025-02-17,Bill Pay Campaign,Facebook,Dhaka,15828,1107,214,155,123835.77,1770.75,13176,Merchant Payment,Student
2025-02-17,Eid Offer,SMS,Dhaka,41064,2828,664,470,573469.14,3396.63,35188,Send Money,Existing User
2025-02-17,QR Payment Campaign,SMS,Dhaka,92241,5570,824,444,386506.23,4917.5,57062,Bill Pay,Student
2025-02-18,Student Recharge Promo,Facebook,Sylhet,15824,939,212,170,77963.03,2470.26,6707,Send Money,New User
2025-02-18,Merchant Payment Promo,SMS,Barishal,43493,3195,1019,560,152578.36,2819.36,16149,Mobile Recharge,Student
2025-02-18,Bill Pay Campaign,Facebook,Barishal,15553,401,68,51,191489.87,1590.58,1226,QR Payment,Merchant
2025-02-19,Cashback Offer,Google Ads,Khulna,50911,1661,513,265,480972.32,4356.4,11648,Send Money,Premium User
2025-02-20,Bill Pay Campaign,Facebook,Barishal,52522,2843,569,347,325578.43,3789.7,20865,Send Money,Premium User
2025-02-21,App Signup Bonus,SMS,Rajshahi,31053,1751,419,410,958021.77,1348.74,30033,Merchant Payment,Merchant
2025-02-21,Ramadan Campaign,Google Ads,Rangpur,20909,964,108,38,23825.4,1980.72,16418,Merchant Payment,Student
2025-02-21,QR Payment Campaign,Email,Khulna,10196,639,108,92,207924.2,259.13,9386,Mobile Recharge,Premium User
2025-02-21,App Signup Bonus,Google Ads,Chattogram,75457,3091,541,331,85289.07,10087.22,34784,QR Payment,New User
2025-02-21,App Signup Bonus,Google Ads,Khulna,73156,4322,886,663,1449138.19,7077.82,17420,Merchant Payment,Merchant
2025-02-21,Eid Offer,Facebook,Rangpur,70000,3779,537,422,215005.31,13620.13,17119,Bill Pay,Student
2025-02-22,Cashback Offer,Email,Khulna,51814,2489,373,307,101475.96,836.61,30084,Mobile Recharge,Student
2025-02-22,Ramadan Campaign,YouTube,Khulna,60178,2020,207,174,416724.4,10377.57,14226,QR Payment,Premium User
2025-02-22,App Signup Bonus,Email,Barishal,23653,722,81,43,75500.25,643.81,21191,Bill Pay,Premium User
2025-02-22,App Signup Bonus,Google Ads,Rajshahi,82455,5805,846,729,880452.39,12534.2,5585,QR Payment,Existing User
2025-02-22,Ramadan Campaign,YouTube,Chattogram,81631,3076,572,509,1943727.6,14967.91,13531,Mobile Recharge,Premium User
2025-02-22,Student Recharge Promo,YouTube,Mymensingh,38448,1620,114,110,76581.09,6475.48,12881,Bill Pay,Merchant
2025-02-23,Bill Pay Campaign,Facebook,Mymensingh,20052,1355,294,140,129484.48,1310.13,3972,Merchant Payment,New User
2025-02-23,App Signup Bonus,Facebook,Rangpur,11431,618,120,56,40532.29,1661.03,4533,QR Payment,New User
2025-02-23,Ramadan Campaign,Push Notification,Sylhet,22569,1734,552,314,281935.72,989.08,3784,QR Payment,New User
2025-02-23,Merchant Payment Promo,Email,Barishal,41526,1337,277,154,164282.58,1896.98,8990,QR Payment,Merchant
2025-02-23,Student Recharge Promo,Push Notification,Dhaka,48311,3237,1063,634,874179.91,2194.44,41264,Bill Pay,Merchant
2025-02-24,Ramadan Campaign,YouTube,Rajshahi,24278,1107,85,36,18395.36,7447.79,19217,Bill Pay,Existing User
2025-02-24,Merchant Payment Promo,Email,Sylhet,86092,3630,423,277,336708.68,3132.25,16001,Merchant Payment,Existing User
2025-02-24,QR Payment Campaign,YouTube,Dhaka,117040,5098,996,748,466975.05,13341.25,63537,Bill Pay,Existing User
2025-02-24,Merchant Payment Promo,Google Ads,Sylhet,80489,4233,747,621,2803229.18,13371.31,19559,Mobile Recharge,Merchant
2025-02-24,Cashback Offer,Google Ads,Khulna,86220,3114,605,493,284711.64,13574.21,9949,QR Payment,Student
